date|time|description|vendor|amount
2024-07-07|09:10:00|Coffee|Starbucks|-6.50
2025-04-01|09:15:00|Monthly Rent|Main Street Realty|-950.00
2024-01-09|13:30:00|Software Subscription|Adobe|-32.99
2025-10-03|14:00:00|Client Payment INV-1026|Acme Corp|2000.00
2024-03-01|10:30:00|Client Payment INV-1004|Acme Corp|1100.00
2025-02-03|11:45:00|Freelance Payment|DesignCo|950.00
2024-08-01|09:00:00|Monthly Rent|Main Street Realty|-950.00
2024-12-03|14:10:00|Client Payment INV-1017|Acme Corp|1600.00
2025-01-02|09:15:00|Opening Balance|Bank|2000.00
2024-04-06|15:45:00|Lunch|Panera|-19.75
2024-01-02|09:15:00|Opening Balance|Bank|5000.00
2025-03-10|10:20:00|Freelance Payment|DesignCo|750.00
2024-05-17|09:40:00|Marketing Expense|Meta Ads|-200.00
2024-09-05|11:35:00|Client Payment INV-1014|Acme Corp|1800.00
2025-09-05|12:00:00|Lunch|Panera|-20.00
2025-06-01|09:10:00|Monthly Rent|Main Street Realty|-950.00
2024-02-17|15:20:00|Office Decor|Ikea|-215.00
2024-10-07|10:20:00|Team Lunch|Panera|-45.00
2024-04-08|09:25:00|Software Subscription|Adobe|-32.99
2025-08-10|09:40:00|Freelance Payment|DesignCo|950.00
2024-03-03|11:45:00|Lunch|Panera|-23.50
2024-11-07|11:50:00|Internet Bill|Spectrum|-85.00
2024-02-12|14:40:00|Internet Bill|Spectrum|-80.00
2025-08-01|09:00:00|Monthly Rent|Main Street Realty|-950.00
2025-08-05|14:25:00|Client Payment INV-1024|Acme Corp|1750.00
2024-01-03|10:45:00|Office Supplies|Staples|-125.30
2025-10-01|09:00:00|Monthly Rent|Main Street Realty|-950.00
2024-04-05|13:30:00|Client Payment INV-1007|Acme Corp|1300.00
2025-09-03|11:20:00|Client Payment INV-1025|Acme Corp|1800.00
2024-03-05|08:00:00|Monthly Rent|Main Street Realty|-950.00
2025-01-05|11:00:00|Software Subscription|Adobe|-32.99
2025-03-06|12:30:00|Internet Bill|Spectrum|-85.00
2024-07-15|13:15:00|Team Dinner|Olive Garden|-85.25
2024-09-07|13:50:00|Office Decor|Ikea|-210.00
2025-05-03|14:30:00|Client Payment INV-1022|Acme Corp|2000.00
2024-10-01|09:15:00|Monthly Rent|Main Street Realty|-950.00
2024-08-03|11:30:00|Client Payment INV-1013|Acme Corp|1350.00
2024-02-15|09:00:00|Freelance Payment|DesignCo|750.00
2025-02-01|09:00:00|Monthly Rent|Main Street Realty|-950.00
2025-07-10|13:30:00|Software Subscription|Adobe|-32.99
2024-05-12|10:30:00|Client Payment INV-1010|Acme Corp|1900.00
2024-09-01|09:10:00|Monthly Rent|Main Street Realty|-950.00
2024-12-01|09:30:00|Monthly Rent|Main Street Realty|-950.00
2024-04-09|14:20:00|Freelance Payment|DesignCo|650.00
2024-10-04|14:30:00|Consulting Fee|Freelance Client|700.00
2025-10-09|09:10:00|Coffee|Starbucks|-8.25
2025-04-03|14:30:00|Client Payment INV-1021|Acme Corp|1900.00
2024-03-05|08:00:00|Monthly Rent|Main Street Realty|-950.00
2025-10-15|12:31:42|Test|Test|900.55
2025-10-15|12:44:10|Test|Test|900.0
2025-10-15|12:45:55|Test|test|-83.0
2025-10-15|12:49:53|Test|Test |922.5
2025-10-15|12:50:27|Test|Test|-800.5
2025-10-15|12:50:53|Test |Test|-800.52
